	en	pl	de	fr	zh	pt	ru	es
SEB16	Totokishi	Totokishi	Totokishi	Totokishi	Totokishi	Totokishi	Totokishi	Totokishi
SEB17	Ginirokishi	Ginirokishi	Ginirokishi	Ginirokishi	Ginirokishi	Ginirokishi	Ginirokishi	Ginirokishi
SEB18	Daikishi	Daikishi	Daikishi	Daikishi	Daikishi	Daikishi	Daikishi	Daikishi
SEB19	Katahei	Katahei	Katahei	Katahei	Katahei	Katahei	Katahei	Katahei
SEB20	Eienhei	Eienhei	Eienhei	Eienhei	Eienhei	Eienhei	Eienhei	Eienhei
SEB21	Tsuyohei	Tsuyohei	Tsuyohei	Tsuyohei	Tsuyohei	Tsuyohei	Tsuyohei	Tsuyohei
SEB22	Totohei	Totohei	Totohei	Totohei	Totohei	Totohei	Totohei	Totohei
SEB23	Ginirohei	Ginirohei	Ginirohei	Ginirohei	Ginirohei	Ginirohei	Ginirohei	Ginirohei
SEB24	Daihei	Daihei	Daihei	Daihei	Daihei	Daihei	Daihei	Daihei
SEB25	Katatate	Katatate	Katatate	Katatate	Katatate	Katatate	Katatate	Katatate
SEB26	Eientate	Eientate	Eientate	Eientate	Eientate	Eientate	Eientate	Eientate
SEB27	Tsuyotate	Tsuyotate	Tsuyotate	Tsuyotate	Tsuyotate	Tsuyotate	Tsuyotate	Tsuyotate
SEB28	Tototate	Tototate	Tototate	Tototate	Tototate	Tototate	Tototate	Tototate
SEB29	Ginirotate	Ginirotate	Ginirotate	Ginirotate	Ginirotate	Ginirotate	Ginirotate	Ginirotate
SEB30	Daitate	Daitate	Daitate	Daitate	Daitate	Daitate	Daitate	Daitate
SFF1	Task Force 10	Grupa Zadaniowa 10	Einsatzgruppe 10	Groupe Tactique 10	特遣队 10	Força-Tarefa no. 10	Оперативная Группа 10	Grupo Especial 10
SFF2	Task Force 11	Grupa Zadaniowa 11	Einsatzgruppe 11	Groupe Tactique 11	特遣队 11	Força-Tarefa no. 11	Оперативная Группа 11	Grupo Especial 11
SFF3	Task Force 12	Grupa Zadaniowa 12	Einsatzgruppe 12	Groupe Tactique 12	特遣队 12	Força-Tarefa no. 12	Оперативная Группа 12	Grupo Especial 12
SFF4	Task Force 13	Grupa Zadaniowa 13	Einsatzgruppe 13	Groupe Tactique 13	特遣队 13	Força-Tarefa no. 13	Оперативная Группа 13	Grupo Especial 13
SFF5	Task Force 14	Grupa Zadaniowa 14	Einsatzgruppe 14	Groupe Tactique 14	特遣队 14	Força-Tarefa no. 14	Оперативная Группа 14	Grupo Especial 14
SFF6	Task Force 15	Grupa Zadaniowa 15	Einsatzgruppe 15	Groupe Tactique 15	特遣队 15	Força-Tarefa no. 15	Оперативная Группа 15	Grupo Especial 15
SFF7	Task Force 16	Grupa Zadaniowa 16	Einsatzgruppe 16	Groupe Tactique 16	特遣队 16	Força-Tarefa no. 16	Оперативная Группа 16	Grupo Especial 16
SFF8	Task Force 17	Grupa Zadaniowa 17	Einsatzgruppe 17	Groupe Tactique 17	特遣队 17	Força-Tarefa no. 17	Оперативная Группа 17	Grupo Especial 17
SFF9	Task Force 18	Grupa Zadaniowa 18	Einsatzgruppe 18	Groupe Tactique 18	特遣队 18	Força-Tarefa no. 18	Оперативная Группа 18	Grupo Especial 18
SFF10	Task Force 19	Grupa Zadaniowa 19	Einsatzgruppe 19	Groupe Tactique 19	特遣队 19	Força-Tarefa no. 19	Оперативная Группа 19	Grupo Especial 19
SFF11	Task Force 20	Grupa Zadaniowa 20	Einsatzgruppe 20	Groupe Tactique 20	特遣队 20	Força-Tarefa no. 20	Оперативная Группа 20	Grupo Especial 20
SFF12	Task Force 21	Grupa Zadaniowa 21	Einsatzgruppe 21	Groupe Tactique 21	特遣队 21	Força-Tarefa no. 21	Оперативная Группа 21	Grupo Especial 21
SFF13	Task Force 22	Grupa Zadaniowa 22	Einsatzgruppe 22	Groupe Tactique 22	特遣队 22	Força-Tarefa no. 22	Оперативная Группа 22	Grupo Especial 22
SFF14	Task Force 23	Grupa Zadaniowa 23	Einsatzgruppe 23	Groupe Tactique 23	特遣队 23	Força-Tarefa no. 23	Оперативная Группа 23	Grupo Especial 23
SFF15	Task Force 24	Grupa Zadaniowa 24	Einsatzgruppe 24	Groupe Tactique 24	特遣队24	Força-Tarefa no. 24	Оперативная Группа 24	Grupo Especial 24
SFF16	Task Force 25	Grupa Zadaniowa 25	Einsatzgruppe 25	Groupe Tactique 25	特遣队 25	Força-Tarefa no. 25	Оперативная Группа 25	Grupo Especial 25
SFF17	Task Force 26	Grupa Zadaniowa 26	Einsatzgruppe 26	Groupe Tactique 26	特遣队 26	Força-Tarefa no. 26	Оперативная Группа 26	Grupo Especial 26
SFF18	Task Force 27	Grupa Zadaniowa 27	Einsatzgruppe 27	Groupe Tactique 27	特遣队 27	Força-Tarefa no. 27	Оперативная Группа 27	Grupo Especial 27
SFF19	Task Force 28	Grupa Zadaniowa 28	Einsatzgruppe 28	Groupe Tactique 28	特遣队28	Força-Tarefa no. 28	Оперативная Группа 28	Grupo Especial 28
SFF20	Task Force 29	Grupa Zadaniowa 29	Einsatzgruppe 29	Groupe Tactique 29	特遣队 29	Força-Tarefa no. 29	Оперативная Группа 29	Grupo Especial 29
SFF21	Task Force 30	Grupa Zadaniowa 30	Einsatzgruppe 30	Groupe Tactique 30	特遣队 30	Força-Tarefa no. 30	Оперативная Группа 30	Grupo Especial 30
SFF22	Task Force 31	Grupa Zadaniowa 31	Einsatzgruppe 31	Groupe Tactique 31	特遣队 31	Força-Tarefa no. 31	Оперативная Группа 31	Grupo Especial 31
SFF23	Task Force 32	Grupa Zadaniowa 32	Einsatzgruppe 32	Groupe Tactique 32	特遣队 32	Força-Tarefa no. 32	Оперативная Группа 32	Grupo Especial 32
SFF24	Task Force 33	Grupa Zadaniowa 33	Einsatzgruppe 33	Groupe Tactique 33	特遣队 33	Força-Tarefa no. 33	Оперативная Группа 33	Grupo Especial 33
SFF25	Task Force 34	Grupa Zadaniowa 34	Einsatzgruppe 34	Groupe Tactique 34	特遣队 34	Força-Tarefa no. 34	Оперативная Группа 34	Grupo Especial 34
SFF26	Task Force 35	Grupa Zadaniowa 35	Einsatzgruppe 35	Groupe Tactique 35	特遣队 35	Força-Tarefa no. 35	Оперативная Группа 35	Grupo Especial 35
SFF27	Task Force 36	Grupa Zadaniowa 36	Einsatzgruppe 36	Groupe Tactique 36	特遣队 36	Força-Tarefa no. 36	Оперативная Группа 36	Grupo Especial 36
SFF28	Task Force 37	Grupa Zadaniowa 37	Einsatzgruppe 37	Groupe Tactique 37	特遣队 37	Força-Tarefa no. 37	Оперативная Группа 37	Grupo Especial 37
SFF29	Task Force 38	Grupa Zadaniowa 38	Einsatzgruppe 38	Groupe Tactique 38	特遣队 38	Força-Tarefa no. 38	Оперативная Группа 38	Grupo Especial 38
SFF30	Task Force 39	Grupa Zadaniowa 39	Einsatzgruppe 39	Groupe Tactique 39	特遣队 39	Força-Tarefa no. 39	Оперативная Группа 39	Grupo Especial 39
SFF31	Task Force 40	Grupa Zadaniowa 40	Einsatzgruppe 40	Groupe Tactique 40	特遣队 40	Força-Tarefa no. 40	Оперативная Группа 40	Grupo Especial 40
SFF32	Task Force 41	Grupa Zadaniowa 41	Einsatzgruppe 41	Groupe Tactique 41	特遣队 41	Força-Tarefa no. 41	Оперативная Группа 41	Grupo Especial 41
SFF33	Task Force 42	Grupa Zadaniowa 42	Einsatzgruppe 42	Groupe Tactique 42	特遣队 42	Força-Tarefa no. 42	Оперативная Группа 42	Grupo Especial 42
SFF34	Task Force 43	Grupa Zadaniowa 43	Einsatzgruppe 43	Groupe Tactique 43	特遣队 43	Força-Tarefa no. 43	Оперативная Группа 43	Grupo Especial 43
SFF35	Task Force 44	Grupa Zadaniowa 44	Einsatzgruppe 44	Groupe Tactique 44	特遣队 44	Força-Tarefa no. 44	Оперативная Группа 44	Grupo Especial 44
SFF36	Task Force 45	Grupa Zadaniowa 45	Einsatzgruppe 45	Groupe Tactique 45	特遣队 45	Força-Tarefa no. 45	Оперативная Группа 45	Grupo Especial 45
SFF37	Task Force 46	Grupa Zadaniowa 46	Einsatzgruppe 46	Groupe Tactique 46	特遣队 46	Força-Tarefa no. 46	Оперативная Группа 46	Grupo Especial 46
SFF38	Task Force 47	Grupa Zadaniowa 47	Einsatzgruppe 47	Groupe Tactique 47	特遣队 47	Força-Tarefa no. 47	Оперативная Группа 47	Grupo Especial 47
SFF39	Task Force 48	Grupa Zadaniowa 48	Einsatzgruppe 48	Groupe Tactique 48	特遣队 48	Força-Tarefa no. 48	Оперативная Группа 48	Grupo Especial 48
SFF40	Task Force 49	Grupa Zadaniowa 49	Einsatzgruppe 49	Groupe Tactique 49	特遣队 49	Força-Tarefa no. 49	Оперативная Группа 49	Grupo Especial 49
SFF41	Task Force 50	Grupa Zadaniowa 50	Einsatzgruppe 50	Groupe Tactique 50	特遣队 50	Força-Tarefa no. 50	Оперативная Группа 50	Grupo Especial 50
SFB1	US outpost	Placówka amerykańska	Amerikanischer Posten	Établissement américain	美军前哨	Posto americano	Американский форпост	Establecimiento estadounidense
SFB2	US base	Baza amerykańska	Amerikanischer Stützpunkt	Base américain	美军基地	Base americana	 Американская база	Base estadounidense
SFB3	US fortified outpost	Amerykańska umocniona placówka 	Verstärkter amerikanischer Posten	Établissement américain renforcé	美军加强型前哨	Posto americano reforçado	Укрепленный форпост Америки 	Establecimiento estadounidense reforzado 
