	en	pl	de	fr	zh	pt	ru	es
IslandOfficer04desc	A specialist in naval strategy who has planned and executed many successful operations.	Specjalista w dziedzinie strategii morskiej, który zaplanował i przeprowadził wiele udanych operacji.	Spezialist auf dem Gebiet der Seestrategie, der viele gelungene Operationen plante und durchführte.	Spécialiste en stratégie navale qui a planifié et réalisé de nombreuses opérations réussies.	他是一位战略专家， 计划并实施了许多成功的行动。	Especialista na estratégia marina, que planejou e realizou muitas operações bem-sucedidas.	Специалист в области морской стратегии, который спланировал и осуществил множество успешных операций.	Especialista en estrategia naval, que ha planeado y realizado muchas operaciones exitosas.
IslandOfficer05	Rae, Thomas Whiteside	Rae, Thomas Whiteside	Rae, Thomas Whiteside	Rae, Thomas Whiteside	雷， 托马斯怀特塞德	Rae, Thomas Whiteside	Томас Уайтсайд Рэй	Rae, Thomas Whiteside
IslandOfficer05desc	An engineer with a wealth of technical knowledge. Known for his bold and aggressive approach.	Inżynier z bogatą wiedzą techniczną. Znany z odważnego i agresywnego podejścia.	Ingenieur mit großem technischem Wissen. Berühmt für das mutige und aggressive Angehen.	Ingénieur doté de riches connaissances techniques. Connu pour son approche audacieuse et agressive.	具有丰富技术知识的工程师， 以积极的态度而闻名。	Engenheiro com grandes conhecimentos técnicos. Conhecido pela sua atitude corajosa e agressiva.	Инженер с с обширными техническими знаниями. Известен бесстрашным и агрессивным подходом.	Ingeniero con vastos conocimientos técnicos. Conocido por su actitud temeraria y agresiva.
IslandOfficer06	Waldemar, Charles F.	Waldemar, Charles F.	Waldemar, Charles F.	Waldemar, Charles F.	瓦尔德玛， 查尔斯 F.	Waldemar, Charles F.	Чарльз Ф. Уолдемар	Waldemar, Charles F.
IslandOfficer06desc	An experienced and professional officer. Used to serve on another aircraft carrier.	Doświadczony i profesjonalny oficer. Służył na innym lotniskowcu.	Erfahrener und professioneller Offizier. Diente auf einem anderen Flugzeugträger.	Un officier expérimenté et professionnel. Il a servi sur un autre porte-avion.	经验丰富且专业， 曾在沉没的航空母舰上服役。	Oficial profissional com experiência. Serviu num outro porta-aviões.	Опытный профессиональный офицер. Служил на другом авианосце.	Oficial profesional con experiencia Ha servido en otro portaaviones.
IslandOfficer07	Naile, Frederick J.	Naile, Frederick J.	Naile, Frederick J.	Naile, Frederick J.	奈尔，弗雷德里克 J.	Naile, Frederick J.	Фредерик Дж. Нейл	Naile, Frederick J.
IslandOfficer07desc	Known for his unconventional but effective methods. A devoted Christian.	Znany z niekonwencjonalnych, ale skutecznych metod. Oddany chrześcijanin.	Berühmt für unkonventionelle, aber wirksame Methoden. Gläubiger Christ.	Connu pour ses méthodes non conventionnels mais efficaces. Un chrétien dévoué.	这是一位以其非常规的行为处事方式而闻名， 是个虔诚的基督徒。	Conhecido pelos seus métodos não convencionais, mas eficientes. Cristão fiel.	Известен нетрадиционными, но эффективными методами. Преданный христианин.	Conocido por sus métodos poco convencionales, pero eficientes. Un cristiano fiel.
IslandOfficer08	Randall, Sanford	Randall, Sanford	Randall, Sanford	Randall, Sanford	兰德尔， 桑福德	Randall, Sanford	Сэнфорд Рэндалл	Randall, Sanford
IslandOfficer08desc	Son of a legendary US naval officer. Trying to surpass his father’s glory.	Syn legendarnego oficera amerykańskiej marynarki wojennej. Stara się przewyższyć chwałę swojego ojca.	Sohn des legendären Offiziers der amerikanischen Kriegsmarine. Versucht, berühmter als sein Vater zu werden.	Fils de légendaire officier de la marine américaine. Il essaie de surpasser la gloire de son fils.	他是一名美国传奇军官的儿子， 并且试图超越父亲的荣耀。	Filho de um lendário oficial da marinha americana. Tenta ultrapassar a glória do seu pai.	Сын легендарного офицера военно-морских сил США. Пытается превзойти славу своего отца.	Hijo de un oficial legendario de la marina estadounidense. Intenta superar la gloria de su padre.
IslandOfficer09	Galloway, Charles D.	Galloway, Charles D.	Galloway, Charles D.	Galloway, Charles D.	加洛韦， 查尔斯 D.	Galloway, Charles D.	Чарльз Д. Галлоуэй	Galloway, Charles D.
IslandOfficer09desc	A brilliant mathematician. His calculations are always flawless.	Genialny matematyk. Jego obliczenia są zawsze bezbłędne.	Genialer Mathematiker. Seine Berechnungen sind immer fehlerfrei.	Un mathématicien brillant. Ses calculs sont toujours parfaits.	他是一名头脑聪明的数学家， 他的计算总是正确的。	Matemático brilhante. As suas calculações são sempre impecáveis.	Гениальный математик Его вычисления всегда безошибочны. 	Un matemático ingenioso. Sus cálculos son siempre impecables.
LowSupplies	Your carrier is low on supplies!	Mało zasobów	Wenig Ressourcen	Peu de ressources	供应不足	Poucos recursos	Мало ресурсов	Pocos recursos
MaintenanceAfterMission	Cooldown	Czas Odnowienia	Zeit der Erneuerung	Temp de renouvellement	冷却	Tempo de renovação	Время перезарядки	Tiempo de renovación
MissionDuration	Duration	Czas Trwania	Zeitdauer	Durée	活动时间	Tempo de duração	Длительность	Duración
NewEnemyPositionEvent	A new enemy has been found. Click to view.	Znaleziono nowego przeciwnika! Kliknij, aby zobaczyć.	Es wurde ein neuer Gegner gefunden! Klicke an, um anzuschauen.	Un nouvel adversaire a été trouvé ! Cliquez pour voir.	发现敌军！ 点击查看。	Encontrou-se um novo inimigo! Faça clique para ver.	Обнаружен новый противник! Нажмите, чтобы увидеть.	¡Hemos encontrado nuevo enemigo! Haga clic para ver
NewEnemyPositionEventShort	A new enemy was found!	Znaleziono nowego wroga!	Es wurde ein neuer Feind gefunden!	Un nouvel ennemi a été trouvé !	发现敌军！	Encontrou-se um novo inimigo!	Обнаружен новый враг!	¡¡Hemos encontrado nuevo enemigo!
NewIntelEvent	Information has been updated on the Tactical Map. Click to review.	Zaktualizowano informacje na mapie taktycznej. Kliknij, aby zobaczyć.	Es wurden Informationen auf der taktischen Karte aktualisiert. Klicke an, um anzuschauen.	Les informations sur la carte tactique ont été mises à jour. Cliquez pour voir.	战术地图信息已更新， 点击查看。	Informação sobre o mapa táctico atualizada. Faça clique para ver.	Обновлена ​​информация на тактической карте. Нажмите, чтобы увидеть.	La información en el mapa de táctico ha sido actualizada. Haga clic para ver
NewIntelEventShort	Tactical Map information updated!	Zaktualizowano informacje na mapie taktycznej.	Es wurden Informationen auf der taktischen Karte aktualisiert.	Les informations sur la carte tactique ont été mises à jour.	战术地图信息已更新。	Informação sobre o mapa táctico atualizada.	Обновлена ​​информация на тактической карте.	La información en el mapa de táctico ha sido actualizada.
NoPassiveBonus	No passive bonus	Brak pasywnego efektu	Kein passiver Effekt	Aucun effet passif	没有被动奖励	Sem efeito passivo	Нет пассивного эффекта	Sin efectos pasivos
NPP001Desc	Medical: Grants additional $1% efficiency when assigned to the Medical Department.	Medyczny: Zapewnia dodatkowe $1% wydajności po przydzieleniu do Działu Medycznego.	Medizinisch: Sichert zusätzliche $1% der Effektivität bei der Zuteilung zur Medizinischen Abteilung.	Médical : Assure $1 % de l’efficacité supplémentaire lors de l’affectation à la Division Médicale.	医疗用品， 分配给医疗部门后会额外增加 $1% 的效率。	Médico: Oferece $1% adicional do rendimento depois de incorporar do Departamento Médico.	Медицинский: Предоставляет дополнительные $1% производительности при назначении в Медицинское Отделение.	Médico: Garantiza el $1 % adicional de eficiencia después de asignarse al Departamento Médico.
NPP002Desc	Anti-Aircraft: Grants additional $1% efficiency when assigned to the Anti-Aircraft Department.	Przeciwlotniczy: Zapewnia dodatkowe $1% wydajności po przydzieleniu do Działu Obrony Przeciwlotniczej.	Flugabwehr: Sichert zusätzliche $1% der Effektivität bei der Zuteilung zur Flugabwehrabteilung.	Anti-aérien : Assure $1 % de l’efficacité supplémentaire lors de l’affectation à la Division de Défense Anti-aérienne.	防空用品， 分配给防空部门后会额外增加 $1% 的效率。	Antiaéreo: Oferece $1% adicional do rendimento depois de incorporar do Departamento Antiaéreo.	Противовоздушный: Предоставляет дополнительные $1% производительности при назначении в Противовоздушное Отделение.	Antiaéreo: Garantiza el $1 % adicional de eficiencia después de asignarse al Departamento de defensa antiaérea.
ObjectiveSystemEvent	There is new mission objective information. Click to view.	Nowe informacje o celu misji. Kliknij, aby zobaczyć.	Neue Informationen über Missionsziel. Klicke an, um anzuschauen.	Nouvelles informations sur l’objectif de la mission. Cliquez pour voir.	新的任务目标信息， 点击查看。	Nova informação sobre o alvo da missão. Faça clique para ver.	Новая информация о цели миссии. Нажмите, чтобы увидеть.	Nueva información sobre el objetivo de la misión. Haga clic para ver
ObjectiveSystemEventShort	New mission objective information!	Nowe informacje o celu misji.	Neue Informationen über Missionsziel.	Nouvelles informations sur l’objectif de la mission.	新的任务目标信息。	Nova informação sobre o alvo da missão.	Новая информация о цели миссии.	Nueva información sobre el objetivo de la misión.
OurShipTooltip	Your Fleet	Twoja Flota	Deine Flotte	Votre flotte	我们的舰队	A tua frota	Ваш Флот	Su flota
OurShipTooltipDesc	Click to set your course	Kliknij, aby ustawić kurs	Klicke an, um den Kurs einzustellen	Cliquez pour fixer le cap.	点击设置航线	Faça clique para configurar o curso	Нажмите, чтобы установить курс.	Haga clic para determinar el rumbo
OverrideButton	Confirm	Potwierdź	Bestätige	Confirmer	确认	Confirmar	Подтвердить	Confirmar
OverrideTitle	Overwrite save file?	Nadpisać zapisaną grę?	Soll das gespeicherte Spiel überschrieben werden?	Voulez-vous écraser le jeu sauvegardé ?	覆盖存档？	Sobrepor o jogo guardado?	Перезаписать сохраненную игру?	¿Grabar sobre un juego grabado anteriormente?
PlanesAll	All	Wszystkie	Alle	Tous	全部	Todos	Все	Todas
PlanesAwaitingRepairs	In repair	W naprawie	In Reparatur	En réparation	维修中	Em reparação	В процессе ремонта	En reparación
PlanesInHangars	In the hangar	W hangarach	In Hangars	Dans les hangars	在机库内	Em hangares	В ангарах	En hangares
PlanesOnDeck	On the deck	Na pokładzie	Auf dem Deck	Au bord	在甲板上	A bordo	На палубе	En la cubierta
PlanesOnMission	On a mission	Na misji	Bei der Mission	En mission	执行任务中	Em missão	На миссии	En misión
PlaneWreckOnDeckEvent	Plane wreck on deck. Assign DC to malfunction repair or click for Sections view.	Wrak samolotu na pokładzie. Przypisz BN do naprawy usterek lub kliknij, aby zobaczyć sekcje.	Das Flugzeug zerschellte auf dem Deck! Klicke an, um anzuschauen.	L’avion s’est écrasé au bord ! Cliquez pour voir.	一架飞机坠毁在甲板上！ 点击以聚焦。	O avão despenhou-se a bordo! Faça clique para ver.	Разбитый самолет на палубе! Назначьте Ремонтную Бригаду для устранения повреждений или нажмите, чтобы просмотреть разделы.	Casco de avión en la cubierta. Dirigir el ER a la reparación de fallos y haga clic para ver las secciones.
PlaneWreckOnDeckEventShort	A plane crashed on the deck!	Samolot rozbił się na pokładzie! 	Das Flugzeug zerschellte auf dem Deck!	L’avion s’est écrasé au bord !	一架飞机坠毁在甲板上！	O avão despenhou-se a bordo!	Самолет разбился на полетной палубе! 	¡Un avión se ha estrellado en la cubierta! 
PP002	Supplies	Zasoby	Ressourcen	Ressources	补给	Recursos	Ресурсы	Recursos
PP002Desc	Current supplies: $1/$2. Issue a Resupply Ship order from the Order menu to replenish.	Bieżące zapasy: $1/$2. Wydaj rozkaz Uzupełnienie Zapasów, aby je odnowić.	Laufende Vorräte: $1/$2. Erteile den Befehl Vorräte ergänzen, um sie zu erneuern.	Approvisionnements actuels : $1/$2. Donnez l’ordre Réapprovisionnement des Ressources.	当前供应： $1/$2。  从界面左下方发出补给指令以进行补给。	Recursos atuais: $1/$2. Emita uma ordem de Reabastecimento para os renovar.	Текущие запасы: $1/$2. Отдайте приказ на Пополнение Запасов, чтобы обновить их.	Provisiones actuales: $1/$2. Emitir orden de Complemento de provisiones para renovarlas.
PP003	Dive Bombers	Bombowce Nurkujące	Tauchbomber	Bombardiers en piqué	俯冲轰炸机	Bombardeiros mergulhadores	Пикирующие Бомбардировщики	Bombarderos en picado
PP003Desc	$1 currently available on ship	$1 obecnie dostępnych na statku	$1 derzeit verfügbar auf dem Schiff	$1 actuellement accessibles au bord de navire	$1 目前可在船上使用	$1 disponíveis atualmente no navio	$1 доступных на корабле в настоящее время	$1 de los disponibles actualmente en el buque
PP004	Torpedo Bombers	Samoloty Torpedowe	Torpedoflugzeuge	Avions Torpilleurs	鱼雷轰炸机	Torpedeiros	Торпедоносцы	Aviones torpederos
PP004Desc	$1 currently available on ship	$1 obecnie dostępnych na statku	$1 derzeit verfügbar auf dem Schiff	$1 actuellement accessibles au bord de navire	$1 目前可在船上使用	$1 disponíveis atualmente no navio	$1 доступных на корабле в настоящее время	$1 de los disponibles actualmente en el buque
PP005	Fighters	Myśliwce	Jagdflugzeuge	Chasseurs	战士	Caças	Истребители	Cazadores
PP005Desc	$1 currently available on ship	$1 obecnie dostępnych na statku	$1 derzeit verfügbar auf dem Schiff	$1 actuellement accessibles au bord de navire	$1目前可在船上使用	$1 disponíveis atualmente no navio	$1 доступных на корабле в настоящее время	$1 de los disponibles actualmente en el buque
PP007	Current view	Obecny widok	Aktuelle Ansicht	Vue actuelle	当前视图	Vista atual	Текущий режим просмотра	Vista actual
PP008	Navigation	Nawigacja	Navigation	Navigation	导航	Navegação	Навигация	Navegación
PP008Desc	Click to cycle through different views of the carrier.	Klikaj, aby przemieszczać się pomiędzy różnymi widokami lotniskowca.	Klicke an, um zwischen verschiedenen Ansichten des Flugzeugträgers zu wechseln.	Cliquez pour vous déplacer entre différentes vues du porte-avion.	单击以循环浏览航母的不同区域	Faça clique para se mover entre várias vistas do porta-aviões.	Нажмите, чтобы перемещаться между различными режимами просмотра авианосца.	Haga clic para moverse entre varias vistas del portaaviones.
PP009	Escort	Eskorta	Geleitschutz	Escorte	护航	Escolta	Эскорт	Escolta
PP009Desc	Click to open/close the panel.	Kliknij, aby otworzyć/zamknąć.	Klicke an um zu öffnen/ schließen.	Cliquez pour ouvrir/fermer.	点击打开	Faça clique para abrir/fechar.	Нажмите, чтобы открыть/закрыть.	Haga clic para abrir/cerrar.
PP010	Deck Management	Zarządzanie Pokładem	Deckmanagement	Gestion du Bord	甲板管理	Gestão do bordo	Управление Палубой	Gestión de la Cubierta
PP010Desc	Click to open/close the panel.	Kliknij, aby otworzyć/zamknąć.	Klicke an um zu öffnen/ schließen.	Cliquez pour ouvrir/fermer.	点击打开	Faça clique para abrir/fechar.	Нажмите, чтобы открыть/закрыть.	Haga clic para abrir/cerrar.
PP011	Carrier Speed	Prędkość lotniskowca	Geschwindigkeit des Flugzeugträgers	Vitesse de porte-avion	航母速度	Velocidade do porta-aviões	Скорость авианосца	Velocidad del portaaviones
PP011Desc	Click to open/close the dial.	Kliknij, aby otworzyć/zamknąć.	Klicke an um zu öffnen/ schließen.	Cliquez pour ouvrir/fermer.	点击打开	Faça clique para abrir/fechar.	Нажмите, чтобы открыть/закрыть.	Haga clic para abrir/cerrar.
PP012	Tactical Map	Mapa Taktyczna	Taktische Karte	Carte Tactique	战术地图	Mapa táctico	Тактическая Карта	Mapa táctico
PP012Desc	Click to open the map.	Kliknij, aby otworzyć/zamknąć.	Klicke an um zu öffnen/ schließen.	Cliquez pour ouvrir/fermer.	点击打开	Faça clique para abrir/fechar.	Нажмите, чтобы открыть/закрыть.	Haga clic para abrir/cerrar.
PP013	Mission Objectives	Cele misji	Ziele der Mission	Objectifs de mission	任务目标	Alvos da missão	Цели миссии	Objetivos de la misión
PP013Desc	Click to open/close the panel.	Kliknij, aby otworzyć/zamknąć.	Klicke an um zu öffnen/ schließen.	Cliquez pour ouvrir/fermer.	点击打开	Faça clique para abrir/fechar.	Нажмите, чтобы открыть/закрыть.	Haga clic para abrir/cerrar.
PP014	Settings	Ustawienia	Einstellungen	Paramètres	设置	Configurações	Настройки	Configuraciones
PP014Desc	Click to open the menu.	Kliknij, aby otworzyć/zamknąć.	Klicke an um zu öffnen/ schließen.	Cliquez pour ouvrir/fermer.	点击打开	Faça clique para abrir/fechar.	Нажмите, чтобы открыть/закрыть.	Haga clic para abrir/cerrar.
PP015	Deck state: Recovery	Stan pokładu: Odbieranie	Deckzustand: Übernahme	État de bord : Récupération	甲板状态：可着陆	Estado do bordo: Receção	Состояние палубы: Прием	Estado de la cubierta: Recepción
PP015Desc	Click to prepare deck for recovering planes.	Kliknij, aby przygotować pokład do odbierania samolotów.	Klicke an, um das Deck für die Übernahm der Flugzeuge vorzubereiten.	Cliquez pour préparer le bord à récupérer les avions.	点击设置甲板状态	Faça clique para preparar o bordo para a receção de aviões	Нажмите, чтобы приготовить палубу к приему самолетов	Haga clic para preparar la cubierta para la recepción de los aviones.
PP016.1	No deck operation in progress	Brak operacji w toku	Keine laufende Operationen	Aucune opération au cours	没有正在进行的操作	Falta de operação em curso	Операция не выполняется	No hay operaciones en curso
PP016.2	Deck operation in progress	Operacja w toku	Laufende Operation	Opération en cours	操作进行中	Operação em curso	Операция выполняется	Operación en curso
PP016.2Desc	Respotting aircraft to change deck state.	Zmienianie stanu pokładu	Wechsel des Deckzustands	Changement de l’état du bord	重新定位甲板以更改状态	A mudar o estado do bordo	Изменение состояния палубы	Cambiando de vista de cubierta
PP016.3	Deck operation in progress	Operacja w toku	Laufende Operation	Opération en cours	操作进行中	Operação em curso	Операция выполняется	Operación en curso
PP016.3Desc	Positioning a fighter squadron on the deck.	Wystawianie eskadry myśliwców na pokład	Aufstellen der Jagdstaffel aufs Deck	Positionnement de l’escadre de chasseurs sur le bord	在甲板上部署一个战斗机中队	A colocar uma esquadra de caças no bordo	Размещение эскадрильи истребителей на палубе	Colocando la escuadra de cazas en la cubierta
PP016.4	Deck operation in progress	Operacja w toku	Laufende Operation	Opération en cours	操作进行中	Operação em curso	Операция выполняется	Operación en curso
PP016.4Desc	Positioning a dive bomber squadron on the deck.	Wystawianie eskadry bombowców na pokład	Aufstellen der Bomberstaffel aufs Deck	Positionnement de l’escadre de bombardiers sur le bord	在甲板上部署一个俯冲轰炸机中队	A colocar uma esquadra de bombardeiros no borno	Размещение эскадрильи бомбардировщиков на палубе	Colocando la escuadra de bombarderos en la cubierta
PP016.5	Deck operation in progress	Operacja w toku	Laufende Operation	Opération en cours	操作进行中	Operação em curso	Операция выполняется	Operación en curso
PP016.5Desc	Positioning a torpedo bomber squadron on the deck.	Wystawianie eskadry torpedowców na podkład	Aufstellen der Torpedostaffel aus Deck	Positionnement de l’escadre d’avions torpilleurs sur le bord	在甲板上部署一个鱼雷轰炸机中队	A colocar uma esquadra de torpedeiros no bordo	Размещение эскадрильи миноносцев на палубе	Colocando la escuadra de torpederos en la cubierta
PP016.6	Deck operation in progress	Operacja w toku	Laufende Operation	Opération en cours	操作进行中	Operação em curso	Операция выполняется	Operación en curso
PP016.6Desc	Moving a squadron back to the hangar.	Odstawianie eskadry do hangaru	Bringen der Staffel in den Hangar	Retour de l’escadre dans le hangar	将一个中队移回机库	Retorno da esquadra ao hangar	Возвращение эскадрильи в ангар	Retirando la escuadra al hangar
PP016.7	Deck operation in progress	Operacja w toku	Laufende Operation	Opération en cours	操作进行中	Operação em curso	Операция выполняется	Operación en curso
PP016.7Desc	Rearranging squadron positions on the deck.	Zmiana rozmieszczenia eskadr na pokładzie	Änderung der Lage der Staffeln auf dem Deck	Réaménagement de l’escadre sur le bord	重新安排中队在甲板上的位置	Mudança da distribuição de esquadras no bordo	Изменение расположения эскадрилий на палубе	Cambio de disposición de las escuadras en la cubierta
PP016.8	Deck operation in progress	Operacja w toku	Laufende Operation	Opération en cours	操作进行中	Operação em curso	Операция выполняется	Operación en curso
PP016.8Desc	Launching aircraft on a mission.	Wysyłanie misji	Entsenden der Mission	Lancement de la mission	起飞任务	Envio de missão	Отправка миссии	Envío de misión
PP016.9	Deck operation in progress	Operacja w toku	Laufende Operation	Opération en cours	操作进行中	Operação em curso	Операция выполняется	Operación en curso
PP016.9Desc	Recovering aircraft from a mission.	Odbieranie samolotów z misji	Übernahme der Flugzeuge aus der Mission	Récupération des avions après la mission	着陆任务	Receção de aviões da missão	Прием самолетов с миссии	Recepción de los aviones volviendo de la misión
PP017.1	No deck operation queued	Brak kolejki operacji na pokładzie	Keine Warteschlange Operationen auf dem Deck	Aucune queue sur le bord	甲板上没有可操作的队列	Sem fila de operação no bordo	Нет очереди операций на палубе	No hay cola de operaciones en la cubierta
PP017.2	Queued: Change deck state	W kolejce: Zmiana stanu pokładu	In der Reihenfolge: Wechsel des Deckzustands	La queue : Changement de l’état de bord	队列：更改甲班状态	Em fila: Modificação do estado do bordo	В очереди: Изменение состояния палубы	En cola: Modificación de vista de cubierta
PP017.2Desc	Right-click to cancel this operation.	Kliknij prawym przyciskiem myszy, aby anulować	Klicke mit der rechten Maustaste an, um zu annullieren	Cliquez avec le bouton droit pour annuler	右键取消	Faça clique com o botão direito para cancelar	Нажмите правую кнопку мыши, чтобы аннулировать	Haga clic con el botón derecho del ratón para cancelar
PP017.3	Queued: Position fighters on the deck	W kolejce: Transport myśliwców na pokład	In der Reihenfolge: Transport der Jagdstaffel aufs Deck	La queue : Transport des chasseurs sur le bord	队列：在甲板上部署战斗机	Em fila: Transporte de caças ao bordo	В очереди: Перемещение истребителей на палубу	En cola: Transporte de cazas a la cubierta
PP017.3Desc	Right-click to cancel this operation.	Kliknij prawym przyciskiem myszy, aby anulować	Klicke mit der rechten Maustaste an, um zu annullieren	Cliquez avec le bouton droit pour annuler	右键取消	Faça clique com o botão direito para cancelar	Нажмите правую кнопку мыши, чтобы аннулировать	Haga clic con el botón derecho del ratón para cancelar
PP017.4	Queued: Position dive bombers on the deck	W kolejce: Transport bombowców nurkujących na pokład	In der Reihenfolge: Transport der Tauchbomber aufs Deck	La queue : Transport de bombardiers en piqué sur le bord	队列：在甲板上部署俯冲轰炸机	Em fila: Transporte de bombardeiros mergulhadores ao bordo	В очереди: Перемещение пикирующих бомбардировщиков на палубу	En cola: Transporte de bombarderos a la cubierta 
PP017.4Desc	Right-click to cancel this operation.	Kliknij prawym przyciskiem myszy, aby anulować	Klicke mit der rechten Maustaste an, um zu annullieren	Cliquez avec le bouton droit pour annuler	右键取消	Faça clique com o botão direito para cancelar	Нажмите правую кнопку мыши, чтобы аннулировать	Haga clic con el botón derecho del ratón para cancelar
PP017.5	Queued: Position torpedo bombers on the deck	W kolejce: Transport torpedowców na pokład	In der Reihenfolge: Transport der Torpedoflugzeuge aufs Deck	La queue : Transport d’avions torpilleurs sur le bord	队列：在甲板上部署鱼雷轰炸机	Em fila: Transporte de bombardeiros ao bordo	В очереди: Перемещение бомбардировщиков на палубу	En cola: Transporte de torpederos a la cubierta
PP017.5Desc	Right-click to cancel this operation.	Kliknij prawym przyciskiem myszy, aby anulować	Klicke mit der rechten Maustaste an, um zu annullieren	Cliquez avec le bouton droit pour annuler	右键取消	Faça clique com o botão direito para cancelar	Нажмите правую кнопку мыши, чтобы аннулировать	Haga clic con el botón derecho del ratón para cancelar
PP017.6	Queued: Move a squadron to the hangar	W kolejce: Odstawianie eskadry do hangaru	In der Reihenfolge: Bringen der Staffel in den Hangar	La queue : Retour de l’escadre dans le hangar	队列：将中队移至机库	Em fila: Retorno da esquadra ao hangar	В очереди: Возвращение эскадрильи в ангар	En cola: Retirando la escuadra al hangar
PP017.6Desc	Right-click to cancel this operation.	Kliknij prawym przyciskiem myszy, aby anulować	Klicke mit der rechten Maustaste an, um zu annullieren	Cliquez avec le bouton droit pour annuler	右键取消	Faça clique com o botão direito para cancelar	Нажмите правую кнопку мыши, чтобы аннулировать	Haga clic con el botón derecho del ratón para cancelar
PP017.7	Queued: Rearrange squadrons on deck	W kolejce: Zmiana pozycji eskadr na pokładzie	In der Reihenfolge: Änderung der Lage der Staffeln auf dem Deck	La queue : Réaménagement des escadres sur le bord	队列：重新安排甲板上的飞机	Em fila: Mudança de posição no bordo	В очереди: Изменение расположения эскадрилий на палубе	En cola: Cambio de posición de las escuadras en la cubierta
PP017.7Desc	Right-click to cancel this operation.	Kliknij prawym przyciskiem myszy, aby anulować	Klicke mit der rechten Maustaste an, um zu annullieren	Cliquez avec le bouton droit pour annuler	右键取消	Faça clique com o botão direito para cancelar	Нажмите правую кнопку мыши, чтобы аннулировать	Haga clic con el botón derecho del ratón para cancelar
PP017.8	Queued: Launch mission $1	W kolejce: Rozpoczęcie misji $1	In der Reihenfolge: Beginn der Mission $1	La queue : Lancement de la mission $1	队列：执行任务 $1	Em fila: Início da missão $1	В очереди: Начало миссии $1	En cola: Inicio de la misión $1
PP017.8Desc	Right-click to cancel this operation.	Kliknij prawym przyciskiem myszy, aby anulować	Klicke mit der rechten Maustaste an, um zu annullieren	Cliquez avec le bouton droit pour annuler	右键取消	Faça clique com o botão direito para cancelar	Нажмите правую кнопку мыши, чтобы аннулировать	Haga clic con el botón derecho del ratón para cancelar
PP017.9	Queued: Recover mission $1	W kolejce: Odebranie misji $1	In der Reihenfolge: Übernahme der Mission $1	La queue : Lancement de la mission $1	队列：着陆任务 $1	Em fila: Receção da missão $1	В очереди: Прием миссии $1	En cola: Recepción de la misión $1
PP017.9Desc	Right-click to cancel this operation.	Kliknij prawym przyciskiem myszy, aby anulować	Klicke mit der rechten Maustaste an, um zu annullieren	Cliquez avec le bouton droit pour annuler	右键取消	Faça clique com o botão direito para cancelar	Нажмите правую кнопку мыши, чтобы аннулировать	Haga clic con el botón derecho del ratón para cancelar
PP021	Deck state: Launching	Stan pokładu: Wysyłanie	Deckzustand: Entsenden	État de bord : Envoie	甲板状态：起飞	Estado do bordo: A enviar	Состояние палубы: Отправка	Estado de la cubierta: Enviando
PP021Desc	Click to prepare deck for launching planes.	Kliknij, aby ustawić stan pokładu	Klicke an, um den Deckzustand einzustellen	Cliquez pour fixer l’état de bord	点击设置甲板状态	Faça clique para configurar o estado do bordo	Нажмите, чтобы установить состояние палубы.	Haga clic para configurar el estado de la cubierta
PP022	Radar	Radar	Radar	Radar	雷达	Radar	Радар	Radar
PP022Desc	Click to open/close the radar screen	Kliknij aby otworzyć	Klicke an um zu öffnen	Cliquez pour ouvrir	点击打开	Faça clique para abrir	Нажмите, чтобы открыть	Haga clic para abrir
PP023.1	Strike group detected	Grupa uderzeniowa wykryta	Sturmgruppe entdeckt	Groupe Aéronaval repéré	检测到攻击群	Grupo de ataque detetado	Обнаружена ударная группа	Grupo de ataque detectado
PP023.1Desc	Your fleet has been detected. Risk of incoming attack.	Istnieje ryzyko nadchodzących ataków	Es besteht Angriffsrisiko	Risque d’attentats imminentes	存在受到攻击的风险	Existe um risco para os ataques a chegarem	Есть риск входящих атак	Existe un riesgo de ataques inminentes
PP023.2	Strike group undetected	Grupa uderzeniowa niewykryta	Sturmgruppe nicht entdeckt	Groupe Aéronaval non repéré	攻击小队未被发现	Grupo de ataque não detetado	Ударная группа не обнаружена	Grupo de ataque no detectado
PP023.2Desc	Enemies are not aware of your fleet’s location.	Przeciwnicy nie znają twojej lokalizacji	Die Gegner kennen deine Lage nicht	Les ennemis ne connaissent pas votre position	敌人不知道你的位置	Os inimigos não conhecem a sua localização	Противнику не известно Ваше местоположение	Nos enemigos no conocen su posición
PP024.1	Enemy recon nearby	Zwiadowcy wroga są w pobliżu	Die feindlichen Aufklärer sind in der Nähe	Les éclaireurs ennemis sont près	敌人侦察机在附近	Os rangers do inimigo estão perto	Вражеские разведчики находятся поблизости	Los exploradores del enemigo están cerca
PP024.1Desc	Click to view.	Kliknij, aby powiększyć	Klicke an um zu vergrößern	Cliquez pour voir	点击放大	Faça clique para aumentar	Нажмите, чтобы увеличить	Haga clic para aumentar
PP024.2	Enemy attacking carrier	Przeciwnik atakuje lotniskowiec	Der Gegner greift den Flugzeugträger an	L’ennemi attaque le port-avion	敌人正在攻击航母	O inimigo está a atacar um porta-aviões	Противник атакует авианосец	El enemigo está atacando nuestro portaaviones
